Program_Code,Program_Name,College_Code
CED01,Bachelor of Education in Elementary Education,CED
CED02,Bachelor of Education in Secondary Education,CED
CED03,Bachelor of Education in Special Education,CED
CED04,Bachelor of Education in English,CED
CED05,Bachelor of Education in Mathematics,CED
CENG01,Bachelor of Science in Civil Engineering,CENG
CENG02,Bachelor of Science in Mechanical Engineering,CENG
CENG03,Bachelor of Science in Electrical Engineering,CENG
CENG04,Bachelor of Science in Chemical Engineering,CENG
CENG05,Bachelor of Science in Computer Engineering,CENG
CS01,Bachelor of Science in Computer Science,CS
CS02,Bachelor of Science in Information Technology,CS
CS03,Bachelor of Science in Software Engineering,CS
CS04,Bachelor of Science in Data Science,CS
CS05,Bachelor of Science in Cybersecurity,CS
CBUS01,Bachelor of Business Administration,CBUS
CBUS02,Bachelor of Accounting,CBUS
CBUS03,Bachelor of Finance,CBUS
CBUS04,Bachelor of Marketing,CBUS
CBUS05,Bachelor of International Business,CBUS
CART01,Bachelor of Fine Arts,CART
CART02,Bachelor of Design,CART
CART03,Bachelor of Music,CART
CART04,Bachelor of Theatre Arts,CART
CART05,Bachelor of Visual Arts,CART
CHUM01,Bachelor of Humanities,CHUM
CHUM02,Bachelor of Social Sciences,CHUM
CHUM03,Bachelor of Communication,CHUM
CHUM04,Bachelor of Cultural Studies,CHUM
CHUM05,Bachelor of Liberal Arts,CHUM
CHEAL01,Bachelor of Nursing,CHEAL
CHEAL02,Bachelor of Pharmacy,CHEAL
CHEAL03,Bachelor of Medical Laboratory Science,CHEAL
CHEAL04,Bachelor of Public Health,CHEAL
CHEAL05,Bachelor of Health Administration,CHEAL
CLAW01,Bachelor of Law,CLAW
CLAW02,Bachelor of Legal Studies,CLAW
CLAW03,Bachelor of Criminology,CLAW
CLAW04,Bachelor of Forensic Science,CLAW
CLAW05,Bachelor of International Law,CLAW
CIT01,Bachelor of Information Systems,N/A
CIT02,Bachelor of Computer Applications,N/A
CIT03,Bachelor of Cybersecurity,N/A
CIT04,Bachelor of Networking,N/A
CIT05,Bachelor of IT Management,N/A
CMED01,Bachelor of Media Arts,CMED
CMED02,Bachelor of Journalism,CMED
CMED03,Bachelor of Film Production,CMED
CMED04,Bachelor of Broadcasting,CMED
CMED05,Bachelor of Digital Media,CMED
